Blog	its	there	such	world	york	any	less	find	very	following	access	percent	results	are	few	stop	whole	happened	because	job	put	companies	try	early	movie	different	us	ever	car	president	morning	she	new	special	not	isn	about	view	go	side	house	having	from	set	news	trying	means	reading	since	took	only	through	high	big	though	please	another	called	our	want	right	found	thing	money	t	give	even	within	care	favorite	audio	day	won	thought	did	off	mean	often	today	step	com	his	who	everything	re	control	enough	much	take	think	more	donald	number	already	myself	interesting	up	version	say	be	game	online	make	ll	become	heard	now	based	hand	network	so	both	years	all	turn	book	lot	many	after	makes	thousands	playing	question	call	talk	use	let	man	also	nbsp	being	these	than	an	while	including	been	start	move	life	second	still	takes	least	their	have	feel	using	got	probably	which	reports	writing	away	actually	love	meet	follow	post	first	bad	community	days	we	important	million	report	six	u	them	case	may	tell	internet	drive	doesn	photo	real	m	went	again	facebook	close	time	list	security	show	around	tv	far	finally	people	everyone	watch	according	where	back	part	will	media	old	d	family	problem	when	huge	read	well	questions	those	or	outside	going	mark	what	top	help	check	content	goes	other	change	white	if	th	personal	thanks	link	said	person	american	most	line	too	wrote	point	out	google	things	am	one	your	never	used	know	ways	challenge	get	own	red	could	two	wanted	long	over	state	way	information	seen	likely	see	recently	support	service	play	always	water	months	place	during	better	was	data	social	business	great	would	need	yes	wrong	past	each	ve	shows	fact	app	related	before	america	look	some	something	music	they	photos	rather	year	stories	her	four	month	don	someone	gets	easy	by	blog	little	down	best	live	email	legal	keep	knowledge	soon	making	night	didn	ago	says	web	should	can	him	video	i	neutrality	clear	like	idea	process	started	yet	had	doing	future	no	under	but	project	as	every	done	me	once	might	team	full	working	same	hard	public	must	july	next	free	told	voice	times	order	black	here	end	city	good	e	claims	government	come	then	course	just	ask	twitter	how	does	into	three	were	company	seems	net	between	has	share	together	looking	against	home	made	later	run	design	week	amazon	left	my	really	last	he	trump	story	getting	word	save	do	anyone	behind	work	comes	bit	site	small	without	why	open
Neil Gaiman's Journal	6	56	10	17	12	12	7	13	18	2	0	0	2	66	13	2	6	2	32	2	16	0	2	6	3	8	24	10	0	0	3	11	41	2	58	8	47	8	23	4	3	5	67	10	2	6	8	16	5	9	20	11	4	6	5	3	9	6	9	15	10	5	20	18	56	7	30	0	1	0	3	13	5	8	19	10	0	2	5	3	31	40	51	3	12	0	2	25	13	9	35	0	3	2	6	2	38	3	2	103	0	7	27	22	2	2	28	3	0	0	60	3	22	51	4	68	15	16	12	4	4	3	1	1	5	0	8	11	11	320	9	14	12	43	11	4	30	2	1	9	5	11	0	2	19	71	7	3	22	8	35	0	26	12	8	15	4	0	7	24	5	1	23	52	1	3	1	3	0	43	4	9	8	5	2	2	10	2	65	21	3	5	2	36	2	0	6	7	8	2	3	46	9	9	1	22	22	6	56	4	13	22	7	0	26	6	23	12	10	5	62	1	27	2	36	0	10	0	1	10	17	5	2	63	19	2	1	7	15	7	29	10	3	19	13	1	56	2	50	20	47	22	11	3	9	2	2	34	8	2	19	24	7	11	23	0	11	1	3	3	19	0	4	0	1	6	3	7	6	4	6	111	0	3	0	2	38	12	6	0	2	8	31	2	0	1	0	17	3	7	37	21	1	45	2	2	44	15	12	8	5	15	9	4	1	71	11	9	5	7	4	3	2	7	1	3	7	10	11	28	1	0	12	48	21	7	439	0	1	44	6	2	10	6	42	27	0	11	1	50	1	62	3	13	63	4	4	2	1	4	9	8	7	4	1	11	4	4	1	9	3	1	41	2	1	24	13	0	0	5	28	0	21	4	3	21	6	16	8	21	1	2	0	7	20	5	3	2	1	3	14	6	2	4	7	6	6	82	22	21	55	0	8	10	9	1	40	4	2	24	5	19	0	6	3	4	1
Wired	5	2	0	1	0	0	0	1	0	0	0	0	0	3	1	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	6	0	0	0	2	0	0	0	0	0	3	0	0	0	1	0	1	0	0	2	1	2	0	0	0	1	1	0	1	0	0	0	5	1	1	0	0	0	1	7	0	0	0	0	0	0	0	3	0	1	3	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	1	4	0	0	0	0	0	0	0	4	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	2	0	0	0	0	1	1	0	0	0	0	1	2	1	0	1	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	3	0	1	3	2	0	0	0	2	1	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	3	1	0	1	0	1	3	0	0	1	0	0	1	1	2	0	3	0	1	0	0	1	0	3	0	1	0	0	2	0	0	0	1	1	0	1	0	1	2	7	2	0	3	3	1	1	2	1	0	1	0	2	7	1	0	0	1	0	1	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	1	0	0	2	0	1	0	0	0	4	0	0	0	0	2	0	0	0	0	1	0	4	0	0	0	2	1	0	1	1	0	0	0	0	1	0	1	0	0	3	0	2	0	8	0	6	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	8	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	1	0
Quick Online Tips	0	0	0	0	0	0	0	1	3	0	0	0	0	5	1	0	0	0	0	0	0	1	1	0	5	0	1	1	0	0	0	0	8	1	3	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	1	0	0	2	1	2	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	11	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	6	0	0	0	3	1	0	0	3	0	0	11	0	6	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	5	0	0	0	1	0	0	0	11	13	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	1	3	1	0	0	0	1	0	0	13	2	0	0	1	0	0	0	2	6	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	20	0	0	0	11	0	1	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	1	1	0	1	0	0	0	0	0	0	3	2	0	6	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	2	0	0	1	0	0	1	0	0	0	0	1	1	0	3	1	0	0	0	5	0	4	0	1	1	0	0	0	0	0	0	0	1	2	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	5	1	0	0	0	0	0	10	0	1	0	0	0	0	1	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	16	0	2	0	0	3	0	0	0	1	4	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2	0
Captain's Quarters	3	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	3	0	3	0	0	0	0	0	3	0	1	0	1	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	2	0	0	2	0	0	3	1	0	0	2	0	0	6	1	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	3	0	0	0	0	0	1	1	0	0	2	0	0	0	2	1	1	0	2	1	0	0	0	1	0	1	6	2	0	0	1	0	0	1	0	0	0	1	0	0	1	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	2	0	5	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	0	1	1	1	0	0	2	0	2	0	0	1	0	0	0	0	0	0	4	1	0	2	1	0	0	0	1	0	0	0	0	1	1	0	0	2	1	1	0	3	0	0	0	0	0	1	0	3	0	0	1	1	1	0	4	0	1	2	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	7	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	6	0	4	0	0	0	0	0	0	1	1	0	1	0	0	0	0
43 Folders	9	33	6	13	1	38	16	10	29	2	0	1	2	50	13	11	4	2	57	19	3	2	18	4	1	7	21	26	3	0	7	29	28	5	120	0	105	4	21	4	2	11	34	3	1	10	11	13	5	2	22	7	0	25	2	16	10	3	35	26	24	1	33	5	128	4	50	2	27	10	15	16	10	10	13	13	7	19	13	4	17	28	70	12	48	3	15	37	10	31	69	1	9	13	8	2	45	3	21	96	2	1	45	37	12	2	41	2	3	4	75	8	16	58	5	25	39	20	10	5	2	1	3	3	22	11	17	7	27	1	17	24	36	45	10	8	31	11	1	32	8	20	4	11	19	74	7	8	2	8	45	0	4	7	14	15	2	0	2	29	6	0	7	67	13	0	0	4	0	22	3	15	17	3	0	18	2	19	47	2	10	1	2	46	3	0	4	10	4	7	6	54	8	6	0	20	25	17	53	2	10	45	4	15	30	7	43	24	0	27	105	5	7	3	73	2	30	2	1	10	22	13	0	59	1	4	13	2	14	8	2	41	3	14	2	21	44	2	55	14	47	83	26	6	40	5	0	50	13	4	24	10	5	21	29	0	36	6	1	4	18	1	3	3	6	20	5	4	7	2	27	84	3	1	8	14	20	21	13	6	8	13	40	0	9	8	3	13	1	5	28	23	0	48	0	8	14	2	17	5	2	46	7	13	5	101	5	28	9	14	8	11	0	10	2	5	11	5	8	3	13	10	16	85	12	14	469	0	7	68	6	2	2	6	26	16	8	37	20	93	3	123	12	10	82	4	16	2	7	7	9	16	1	1	0	3	8	6	4	3	8	1	28	7	0	26	3	3	0	5	25	2	70	9	4	60	5	21	3	16	2	2	0	3	28	4	3	2	4	6	28	5	6	10	11	1	2	188	77	13	39	0	6	11	3	2	74	14	2	59	5	7	2	2	12	32	4
blog maverick	0	4	0	0	1	1	0	4	2	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	2	0	0	1	0	5	2	2	0	3	0	0	0	3	1	4	0	0	0	0	2	0	1	0	0	0	1	0	1	3	0	2	0	0	3	4	0	2	1	0	0	1	2	0	0	0	0	0	0	0	0	3	0	1	2	0	0	0	0	1	1	2	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	4	1	1	0	2	0	0	0	0	0	1	0	1	6	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	8	2	0	0	0	0	1	0	2	0	1	0	0	0	2	1	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	2	0	1	2	0	0	0	1	3	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	1	0	0	2	3	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	3	1	0	0	1	0	0	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	2	0	0	0	0	2	0	0	0	4	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	11	0	0	2	0	0	1	0	1	0	0	3	1	2	0	1	1	0	2	0	0	0	1	0	0	0	4	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	0	2	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	1	2	0	1	0	0	3	1	0	0	1	0	1	0	0	1	1
Daily Kos	12	50	5	5	14	33	4	8	11	1	12	20	1	73	9	4	3	5	24	6	8	3	2	2	0	1	21	2	0	25	12	35	47	13	97	14	78	1	8	5	44	7	88	1	18	12	5	7	16	7	30	5	9	8	4	4	10	4	34	18	12	6	7	9	106	8	33	5	24	1	1	16	13	4	18	22	3	5	14	1	1	99	57	8	26	7	5	13	12	14	44	52	3	6	0	1	29	2	14	96	1	2	20	8	4	4	35	5	2	2	34	18	9	50	1	2	4	27	25	1	3	3	6	23	8	3	5	5	29	0	15	31	34	67	20	9	51	1	5	5	5	22	2	9	57	96	2	4	14	6	44	4	2	8	10	1	3	3	6	18	12	3	17	59	4	9	6	4	20	22	6	22	14	11	0	15	0	3	11	10	8	2	7	24	7	14	10	6	2	8	4	41	5	0	10	19	16	8	35	5	6	9	19	4	32	2	5	11	7	19	69	3	14	3	50	5	22	3	7	3	18	7	20	48	2	3	3	3	48	4	17	16	0	9	6	3	42	0	7	4	45	18	2	5	29	1	5	20	13	9	16	25	7	6	19	53	12	12	5	8	6	0	8	4	0	7	2	9	6	10	2	87	5	4	5	13	57	16	2	2	3	4	16	4	12	0	2	25	13	8	21	13	0	90	1	6	17	8	27	3	6	24	5	1	2	93	1	10	10	4	10	11	10	11	3	3	7	9	12	3	13	0	13	41	16	2	51	5	6	23	8	1	2	11	31	8	2	39	20	95	3	98	12	3	9	6	12	10	4	2	7	3	16	5	11	8	6	4	0	23	1	1	39	5	2	11	2	3	24	5	16	5	34	6	3	39	12	21	16	39	2	5	6	5	68	0	4	2	8	3	15	2	3	0	9	0	6	8	9	28	119	146	12	12	4	8	25	3	2	11	3	0	1	4	7	13	13
PaulStamatiou.com - Technology, Design and Photography	13	109	17	17	3	56	14	31	30	3	18	0	2	114	64	3	12	3	9	7	30	1	16	12	6	8	13	4	4	2	3	0	94	2	150	3	126	7	27	9	11	29	148	20	18	15	8	44	37	6	117	33	13	11	26	6	32	14	56	54	25	21	22	3	187	13	43	4	4	6	2	26	17	19	28	53	3	17	1	14	24	18	8	19	68	25	21	96	26	26	126	0	28	21	10	9	121	15	11	173	5	7	42	56	5	7	90	7	8	37	134	13	19	62	16	36	9	23	46	11	2	7	3	20	5	102	26	1	82	6	21	37	45	132	76	10	30	22	4	20	16	47	6	9	38	173	21	57	26	18	38	2	15	13	37	9	1	5	38	60	4	6	16	160	7	4	0	2	0	47	15	19	13	5	20	16	40	29	55	7	9	2	8	91	14	1	13	52	6	5	5	42	9	3	0	38	27	40	124	9	21	34	3	6	128	11	49	41	13	20	173	2	39	2	98	11	15	8	7	7	57	17	3	162	0	6	4	7	10	2	0	28	27	35	12	21	88	76	31	10	110	245	16	41	27	7	5	127	42	8	52	35	32	19	46	8	48	2	5	7	42	9	22	26	11	24	0	13	17	14	66	214	40	2	3	25	116	64	8	2	6	18	44	44	4	50	6	31	0	51	90	52	10	88	42	10	22	4	3	4	22	47	6	8	16	115	14	6	33	21	9	9	0	21	2	5	14	5	24	11	4	23	36	172	3	65	834	2	5	139	9	29	25	8	91	8	11	64	4	154	38	213	26	22	75	5	24	22	12	53	36	18	3	9	1	39	7	2	28	24	2	4	38	20	3	31	5	2	0	17	56	18	144	11	58	94	24	65	9	45	3	9	6	27	42	17	4	11	3	19	20	18	37	83	21	28	8	267	21	41	19	0	8	32	4	8	79	1	10	63	11	47	45	16	25	25	16
Steve Pavlina	0	0	3	0	0	0	0	2	0	0	3	0	2	2	1	0	0	0	0	1	0	0	0	3	0	0	2	1	0	0	0	0	10	1	0	0	15	0	2	0	0	0	1	0	0	0	0	1	0	1	3	6	0	0	0	0	0	2	0	0	0	0	3	0	1	1	0	0	0	0	0	41	0	0	0	1	0	1	2	0	0	1	2	0	3	1	0	2	1	0	11	0	0	0	0	1	14	0	0	12	0	1	0	2	0	0	5	0	0	0	2	0	0	3	0	2	0	1	3	0	1	0	0	0	0	0	0	0	14	0	0	0	0	1	12	0	0	0	1	4	0	0	0	0	0	3	1	0	0	0	1	0	0	1	0	0	0	2	20	22	1	0	20	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	14	1	0	0	0	0	0	2	27	1	0	0	0	0	0	3	0	0	11	0	0	4	0	6	0	0	0	4	0	1	0	0	0	2	0	0	0	0	0	0	13	3	20	0	0	0	0	0	0	0	3	0	0	1	0	1	1	4	15	0	0	0	0	2	1	1	0	0	1	0	0	2	0	0	0	0	0	0	1	0	3	0	0	15	0	0	0	1	0	0	0	4	1	0	0	0	0	1	0	2	0	0	0	5	0	0	0	2	0	0	3	0	0	1	0	0	0	0	1	1	0	0	8	0	0	1	0	0	5	0	11	0	0	3	0	0	0	0	1	0	1	0	26	4	0	0	12	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	1	0	0	0	16	0	0	0	3	2	6	0	0	0	0	0	13	0	0	2	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	25	1	1	2	0	0	1	0	0	2	0	0	0	0	0	0	0	1	1	2
Gothamist	6	3	0	3	6	3	1	0	2	1	0	2	0	7	0	0	3	0	1	3	0	0	0	3	0	0	5	1	5	0	4	2	18	0	8	0	10	1	2	8	1	0	18	0	4	1	0	0	3	1	2	1	0	1	1	1	4	1	3	2	1	4	2	2	11	0	1	2	0	0	0	5	3	2	1	5	0	0	6	0	0	3	6	1	5	0	2	1	4	3	51	1	0	0	0	0	10	0	2	11	0	1	2	1	0	0	6	1	2	0	4	1	4	7	1	0	2	1	8	0	2	0	0	0	0	0	1	2	7	15	2	3	3	13	5	1	6	2	2	2	1	2	0	0	6	4	0	1	1	1	7	1	0	0	3	0	0	3	0	2	0	1	2	10	1	2	1	1	0	5	1	2	1	0	0	1	0	3	4	1	1	3	1	4	1	1	0	2	0	0	0	3	0	0	7	4	4	4	12	0	2	5	1	0	7	3	2	1	1	1	7	3	3	0	11	3	1	1	0	0	2	1	0	6	7	1	1	0	2	1	2	5	0	0	0	0	5	0	0	0	7	6	1	0	5	0	0	6	0	0	4	11	0	3	3	1	1	2	0	0	1	0	0	2	0	0	3	0	0	2	0	10	0	0	1	2	3	4	1	0	1	1	1	0	2	1	1	2	0	4	8	0	1	7	0	0	3	3	2	1	2	6	0	0	0	17	0	1	4	0	7	0	0	0	0	2	1	2	0	0	3	1	0	8	2	2	12	0	0	7	3	0	0	1	4	0	0	5	1	11	0	7	1	2	3	1	2	0	0	0	0	0	1	4	4	3	4	2	0	1	0	1	6	4	10	4	0	0	1	0	0	1	7	0	3	3	0	4	6	8	0	0	0	0	7	0	0	1	0	1	2	1	0	2	4	0	0	3	0	5	3	2	1	1	0	0	4	0	0	3	2	0	0	1	0	0	2
MetaFilter	10	7	4	4	2	4	1	2	1	2	2	0	1	19	4	1	1	0	0	0	3	0	0	1	0	2	2	1	1	0	0	5	10	2	12	1	10	0	1	1	0	1	18	1	2	0	1	1	3	1	3	2	4	0	3	2	2	0	0	3	2	4	0	0	11	1	5	0	0	1	0	3	0	1	3	3	0	5	2	0	0	4	11	1	9	1	1	0	2	1	6	1	0	0	1	3	5	1	1	14	11	2	4	1	1	0	5	2	2	0	9	2	2	7	1	0	3	9	4	2	3	2	2	0	0	6	2	3	7	1	4	3	6	18	4	5	6	1	1	4	0	8	2	2	8	13	2	5	2	1	10	4	0	1	0	1	0	2	2	2	0	1	0	12	0	0	6	1	3	11	1	9	2	5	0	1	0	5	4	1	1	1	0	7	4	0	0	3	4	1	0	7	0	1	0	7	2	1	12	3	4	8	2	2	3	1	0	4	0	6	20	0	0	1	7	2	7	0	0	1	3	1	2	5	1	0	1	1	2	1	1	14	0	3	0	2	8	0	3	0	8	9	3	3	4	0	2	5	3	1	3	2	0	2	4	1	3	1	3	0	2	1	0	0	1	0	0	0	0	4	3	18	5	3	1	1	9	0	2	0	2	1	4	3	0	0	0	2	3	1	9	1	2	7	0	2	2	3	6	1	1	2	0	1	1	34	0	3	2	0	0	0	1	1	3	0	0	1	3	0	2	4	0	9	0	4	25	0	0	8	1	0	3	1	2	1	1	3	1	24	6	36	0	0	4	0	3	2	5	1	3	2	4	3	1	1	2	1	0	3	2	0	5	0	1	4	0	1	3	1	5	1	4	1	1	9	1	5	0	10	3	0	0	2	10	0	2	2	2	0	1	1	0	3	1	0	3	4	2	3	3	0	4	0	0	0	5	0	3	4	0	2	0	1	4	2	1
PerezHilton	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	5	0	1	0	2	0	0	0	2	0	2	0	3	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	1	3	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	8	2	0	1	0	0	2	0	0	3	4	0	0	0	0	1	0	0	3	2	0	1	0	0	1	2	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	0	0	0	2	1	1	0	4	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	1	0	0	0	0	3	0	1	0	0	0	1	1	0	0	0	2	0	1	1	0	0	0	0	0	1	3	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	1	0	1	1	4	0	1	0	1	0	0	0	0	1	0	2	0	0	0	3	2	0	0	2	0	5	0	1	0	1	0	6	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	2	1	3	0	0	0	1	0	0	0	0	1	0	1	1	0	2	0	5	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	2	4	0	2	1	0	0	1	0	0	6	0	0	0	1	0	2	0	0	0	4	0	0	0	0	2	4	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
kottke.org	15	18	5	18	4	4	10	8	16	0	2	2	1	51	9	3	4	2	13	2	11	0	3	2	13	7	23	6	4	15	0	3	15	3	45	6	47	5	7	1	1	4	66	6	2	8	0	6	15	1	17	9	8	2	4	4	5	8	23	11	17	9	5	2	56	3	19	2	1	4	2	15	2	4	10	15	2	3	6	0	1	29	15	4	18	2	3	23	9	9	43	3	9	6	2	6	18	4	6	47	1	2	17	10	5	2	17	6	0	1	35	2	26	42	2	13	5	13	16	5	2	5	5	0	2	11	3	1	14	242	6	17	27	32	5	4	25	4	4	6	4	10	1	5	27	49	0	5	6	6	28	2	3	4	5	8	1	0	9	16	4	2	3	47	4	3	0	1	3	21	6	6	3	3	1	5	1	3	16	2	4	0	2	23	5	0	5	10	13	12	3	32	6	4	3	13	12	6	52	5	7	7	1	7	16	2	7	10	2	11	46	2	9	0	34	5	4	7	0	5	9	16	3	36	3	7	1	2	5	4	7	17	2	3	4	2	24	0	10	4	32	11	8	8	12	0	0	13	5	7	9	8	6	6	14	3	14	3	7	5	14	7	4	4	2	5	3	3	6	3	8	68	2	1	2	7	24	10	3	4	4	13	20	4	2	0	3	4	6	11	28	11	9	37	2	1	8	2	6	8	0	16	2	2	2	60	2	13	7	10	3	1	3	1	2	2	7	1	10	5	4	2	3	19	7	32	153	0	2	37	7	2	10	4	24	5	6	21	5	62	1	55	6	6	19	7	12	1	2	6	3	4	5	0	0	4	2	1	6	10	4	2	11	11	5	14	3	1	11	5	23	4	20	2	4	21	3	19	8	15	1	2	1	3	37	0	2	5	2	2	9	7	0	8	2	13	1	33	8	11	35	12	16	1	1	0	22	5	4	9	1	2	9	3	7	12	0
Scobleizer	4	4	0	6	0	0	0	1	2	0	0	0	0	6	0	0	0	0	2	0	0	4	0	0	0	0	2	0	0	0	0	0	8	0	0	0	10	0	1	0	0	0	2	1	1	0	0	14	3	0	0	0	0	1	0	0	0	0	7	0	0	0	2	1	7	0	2	0	0	0	0	0	1	2	0	1	0	0	1	0	4	0	5	2	0	0	0	3	0	0	3	0	0	0	0	2	1	0	0	4	0	0	2	2	0	0	5	1	0	0	0	1	4	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	0	3	1	0	0	1	1	0	1	0	4	0	2	3	1	2	0	1	1	0	0	5	0	1	3	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	1	7	1	0	5	0	0	0	1	4	2	0	2	0	2	0	0	0	3	4	0	7	3	0	0	0	0	0	0	0	2	0	0	8	0	3	0	5	0	0	1	1	1	4	1	0	3	1	5	2	0	0	0	0	0	4	4	0	0	4	14	0	1	2	0	0	0	1	0	0	1	0	0	2	1	1	0	3	0	2	0	3	0	1	0	1	1	0	0	0	0	0	0	3	8	0	3	1	1	0	2	0	3	0	3	7	1	0	1	0	0	0	1	6	4	2	0	0	0	3	0	0	0	0	2	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	1	30	0	0	4	0	0	3	0	0	0	4	5	0	1	0	5	1	1	6	0	5	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	11	0	0	1	0	0	0	3	3	0	2	0	3	4	1	2	0	0	1	0	0	0	4	1	1	2	0	0	0	0	0	0	1	0	0	6	1	2	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	7	0
BuzzMachine	2	2	2	0	0	0	0	0	0	0	0	0	0	5	1	2	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	3	4	0	1	3	5	0	0	2	0	0	7	0	18	0	0	0	0	0	1	1	0	1	0	1	1	1	8	4	3	0	0	0	6	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	5	0	0	0	0	2	0	2	2	0	1	1	2	0	0	4	0	0	0	3	0	4	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	6	2	0	0	1	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	16	17	1	2	0	10	0	1	0	0	0	3	0	0	0	0	0	0	1	3	2	0	2	11	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	4	3	0	0	0	2	1	0	0	1	0	0	0	0	0	3	7	0	3	0	1	0	0	4	0	0	0	0	0	0	4	0	2	1	0	1	1	0	0	1	0	3	1	0	0	0	1	2	0	0	0	0	2	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	2	0	1	1	0	0	0	0	1	0	0	2	0	2	0	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	2	0	0	5	0	0	1	0	0	0	0	1	0	0	1	0	2	0	0	0	0	4	1	0	18	0	0	0	0	0	0	0	2	0	1	0	1	2	0	5	0	0	3	0	1	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	5	1	1	0	0	0	1	0	0	0	1	1	1	2	0	1	0	0	0	0	0	0	0	0	1	2	4	0	0	3	0	0	0	0	1	8	1	0	5	11	0	0	0	2	4	0	0	0	0	0	0	1	0	0	0
